InitialMass,MeltTemp,EndState,FinalMass,FinalAlt,FinalVel,FinalLat,FinalLon
102,1160,impact,8.564,0,0.007,-43.039,47.448
102,1210,impact,14.087,0,0.008,-42.5,47.682
102,1260,impact,21.811,0,0.01,-42.027,47.88
102,1310,impact,32.134,0,0.013,-41.617,48.047
102,1360,impact,45.381,0,0.015,-41.264,48.188
112,810,demise,0,90.289,5.344,-32.99,50.774
112,860,demise,0.003,88.824,3.449,-32.292,50.966
112,910,demise,0.05,87.256,3.563,-31.607,51.151
112,960,demise,0.391,85.585,3.775,-30.944,51.327
112,1010,demise,1.233,83.886,4.123,-30.327,51.488
112,1060,demise,2.697,81.968,3.967,-29.709,51.646
112,1110,impact,5.226,0,0.005,-28.254,51.867
112,1160,impact,9.248,0,0.007,-27.614,52.049
112,1210,impact,15.174,0,0.009,-27.052,52.204
112,1260,impact,23.434,0,0.011,-26.561,52.335
112,1310,impact,34.401,0,0.013,-26.138,52.445
112,1360,impact,48.449,0,0.016,-25.777,52.538
122,810,demise,0,90.749,6.184,-7.203,56.16
122,860,demise,0,89.22,5.688,-6.376,56.308
122,910,demise,0.051,87.617,3.764,-5.592,56.447
122,960,demise,0.405,85.889,4.002,-4.834,56.582
122,1010,demise,1.233,84.05,4.027,-4.114,56.709
122,1060,demise,2.783,82.199,4.2,-3.461,56.824
122,1110,impact,5.454,0,0.005,-1.853,56.987
122,1160,impact,9.712,0,0.007,-1.169,57.129
122,1210,impact,15.982,0,0.009,-0.574,57.25
122,1260,impact,24.702,0,0.011,-0.06,57.353
122,1310,impact,36.299,0,0.013,0.38,57.44
122,1360,impact,51.125,0,0.016,0.754,57.514
132,810,demise,0,91.645,6.291,15.003,59.982
132,860,demise,0,90.072,5.74,16,60.176
132,910,demise,0.045,88.371,3.481,16.949,60.363
132,960,demise,0.352,86.508,3.733,17.857,60.544
132,1010,demise,1.16,84.6,4.091,18.677,60.71
132,1060,demise,2.694,82.563,4.143,19.444,60.867
132,1110,impact,5.42,0,0.005,21.163,61.096
132,1160,impact,9.794,0,0.007,21.9,61.278
132,1210,impact,16.282,0,0.009,22.535,61.435
132,1260,impact,25.343,0,0.011,23.077,61.568
132,1310,impact,37.422,0,0.014,23.537,61.681
132,1360,impact,52.871,0,0.016,23.924,61.776
142,810,demise,0,92.633,6.374,27.175,62.437
142,860,demise,0,90.89,5.765,28.432,62.743
142,910,demise,0.044,89.023,3.609,29.581,63.031
142,960,demise,0.325,87.001,3.956,30.638,63.304
142,1010,demise,1.13,84.853,3.969,31.597,63.559
142,1060,demise,2.692,82.714,4.179,32.433,63.786
142,1110,impact,5.502,0,0.005,34.226,64.139
142,1160,impact,10.039,0,0.007,34.995,64.394
142,1210,impact,16.771,0,0.009,35.647,64.612
142,1260,impact,26.191,0,0.011,36.198,64.798
142,1310,impact,38.727,0,0.014,36.662,64.955
142,1360,impact,54.733,0,0.017,37.05,65.088
152,810,demise,0,93.102,6.167,37.993,65.344
152,860,demise,0,91.067,5.709,39.521,65.856
152,910,demise,0.039,88.971,4.084,40.814,66.312
152,960,demise,0.363,86.75,4.14,41.948,66.73
152,1010,demise,1.22,84.433,3.976,42.943,67.112
152,1060,demise,2.931,82.084,3.996,43.808,67.457
152,1110,impact,5.933,0,0.005,45.546,68
152,1160,impact,10.727,0,0.007,46.282,68.363
152,1210,impact,17.818,0,0.009,46.905,68.676
152,1260,impact,27.656,0,0.012,47.431,68.943
152,1310,impact,40.67,0,0.014,47.873,69.171
152,1360,impact,57.238,0,0.017,48.244,69.365
162,810,demise,0,87.899,5.625,-18.429,-130.676
162,860,demise,0.028,86.27,3.125,-19.217,-130.515
162,910,demise,0.307,84.519,3.449,-19.976,-130.359
162,960,demise,1.053,82.614,3.393,-20.707,-130.206
162,1010,demise,2.455,80.698,3.556,-21.371,-130.065
162,1060,impact,4.875,0,0.005,-22.792,-129.872
162,1110,impact,8.797,0,0.007,-23.457,-129.706
162,1160,impact,14.65,0,0.008,-24.042,-129.56
162,1210,impact,22.891,0,0.011,-24.555,-129.432
162,1260,impact,33.963,0,0.013,-25.001,-129.321
162,1310,impact,48.291,0,0.016,-25.386,-129.224
162,1360,impact,66.216,0,0.018,-25.716,-129.141
172,810,demise,0.011,85.691,2.794,-72.586,-89.775
172,860,demise,0.161,84.084,3.217,-73.012,-88.008
172,910,demise,0.635,82.33,3.092,-73.416,-86.18
172,960,demise,1.692,80.498,3.218,-73.78,-84.374
172,1010,demise,3.487,78.794,3.604,-74.084,-82.736
172,1060,impact,6.489,0,0.006,-74.859,-78.924
172,1110,impact,11.061,0,0.007,-75.11,-76.863
172,1160,impact,17.682,0,0.009,-75.322,-74.975
172,1210,impact,26.763,0,0.012,-75.499,-73.267
172,1260,impact,38.741,0,0.014,-75.646,-71.734
172,1310,impact,54.021,0,0.017,-75.767,-70.373
172,1360,impact,72.911,0,0.019,-75.865,-69.18
182,810,demise,0.041,84.859,3.002,-51,20.837
182,860,demise,0.239,83.31,3.217,-50.381,21.179
182,910,demise,0.814,81.661,3.394,-49.778,21.502
182,960,demise,1.99,79.844,3.231,-49.184,21.811
182,1010,impact,4,0,0.004,-48.1,22.237
182,1060,impact,7.277,0,0.006,-47.47,22.558
182,1110,impact,12.21,0,0.008,-46.905,22.835
182,1160,impact,19.283,0,0.01,-46.401,23.076
182,1210,impact,28.917,0,0.012,-45.956,23.283
182,1260,impact,41.558,0,0.014,-45.564,23.461
182,1310,impact,57.619,0,0.017,-45.222,23.614
182,1360,impact,77.436,0,0.02,-44.927,23.745
192,810,demise,0.052,84.762,2.796,-34.326,27.348
192,860,demise,0.271,83.166,3.003,-33.649,27.542
192,910,demise,0.91,81.492,3.377,-33.001,27.724
192,960,demise,2.173,79.706,3.417,-32.38,27.896
192,1010,impact,4.348,0,0.005,-31.18,28.126
192,1060,impact,7.86,0,0.006,-30.526,28.312
192,1110,impact,13.172,0,0.008,-29.94,28.475
192,1160,impact,20.713,0,0.01,-29.421,28.616
192,1210,impact,30.947,0,0.012,-28.964,28.738
192,1260,impact,44.326,0,0.015,-28.564,28.843
192,1310,impact,61.268,0,0.017,-28.215,28.933
192,1360,impact,82.096,0,0.02,-27.915,29.01
202,810,demise,0.045,84.787,2.841,-25.467,29.482
202,860,demise,0.3,83.143,3.208,-24.745,29.647
202,910,demise,0.981,81.32,3.056,-24.035,29.807
202,960,demise,2.327,79.498,3.318,-23.388,29.951
202,1010,impact,4.675,0,0.005,-22.138,30.139
202,1060,impact,8.428,0,0.006,-21.469,30.296
202,1110,impact,14.079,0,0.008,-20.874,30.432
202,1160,impact,22.089,0,0.01,-20.348,30.551
202,1210,impact,32.925,0,0.013,-19.888,30.653
202,1260,impact,47.023,0,0.015,-19.486,30.741
202,1310,impact,64.813,0,0.018,-19.137,30.817
202,1360,impact,86.602,0,0.021,-18.838,30.881
212,810,demise,0.027,85.374,3.174,-3.669,33.587
212,860,demise,0.254,83.688,3.306,-2.863,33.729
212,910,demise,0.883,81.817,3.146,-2.076,33.868
